site_id,site_name,mgmt_ip,vendor,cpe_type
ST-1165,CTU,10.10.4.10,MIKROTIK,RB951
ST-1143,Apple One,10.10.0.162,MIKROTIK,RB951
ST-1375,Fuente Circle,10.10.0.74,MIKROTIK,RB951
ST-1390,Cordova,10.10.1.118,MIKROTIK,RB951
ST-2312,Lawaan Talisay,10.10.0.190,MIKROTIK,RB951
ST-0991,NRA,10.10.16.242,MIKROTIK,RB951
ST-1398,Mactan Doctor's,10.10.0.70,MIKROTIK,RB951
ST-0994,St. Theresa,10.10.17.98,MIKROTIK,RB951
ST-1399,Argao,10.10.18.110,MIKROTIK,RB951
ST-3246,Modala Panglao,10.10.2.106,MIKROTIK,RB951
ST-1402,Talamban Proper,10.10.18.122,MIKROTIK,RB951
ST-1524,Tabunok 2,10.10.21.170,MIKROTIK,RB951
ST-3727,Lagtang,10.10.2.70,MIKROTIK,RB951
ST-0932,IMEZ,10.10.2.198,MIKROTIK,RB951
ST-1525,Toledo,10.10.21.190,MIKROTIK,RB951
ST-1164,Bogo Poblacion,10.10.21.126,MIKROTIK,RB951
ST-0950,Big Foot,10.10.2.186,MIKROTIK,RB951
ST-1282,Poblacion Barili,10.10.21.194,MIKROTIK,RB951
ST-1021,Talamban Crossing,10.10.2.202,MIKROTIK,RB951
ST-1626,Pasil,10.10.21.214,MIKROTIK,RB951
ST-1712,Minglanilla 2,10.10.21.210,MIKROTIK,RB951
ST-1570,Jones Avenue,10.10.25.142,MIKROTIK,RB951
ST-1460,Carcar 2,10.10.21.202,MIKROTIK,RB951
ST-1264,Square One,10.10.24.174,MIKROTIK,RB951
ST-1449,Balamban,10.10.21.198,MIKROTIK,RB951
ST-1787,Carmen Cebu,10.10.24.138,MIKROTIK,RB951
ST-1585,Loreta Building,10.10.25.138,MIKROTIK,RB951
ST-1796,Bangkal Lapu-Lapu,10.10.28.130,MIKROTIK,RB951
ST-1457,Pinamungahan,10.10.25.42,MIKROTIK,RB951
ST-1022,Lucky 99,10.10.26.218,MIKROTIK,RB951
ST-1653,PCGS,10.10.27.26,MIKROTIK,RB951
ST-1852,The Space,10.10.27.58,MIKROTIK,RB951
ST-0933,UCLM,10.10.27.54,MIKROTIK,RB951
ST-1152,SWU,10.10.27.62,MIKROTIK,RB951
ST-1458,Tanke,10.10.27.66,MIKROTIK,RB951
ST-1713,Banawa Paseo,10.10.28.206,MIKROTIK,RB951
ST-1816,Consolacion,10.10.31.50,MIKROTIK,RB951
ST-1863,Citymall Consolacion,10.10.31.182,MIKROTIK,RB951
ST-1322,Royal Gold,10.10.30.254,MIKROTIK,RB951
ST-1644,Badian,10.10.30.230,MIKROTIK,RB951
ST-1388,Naga,10.10.31.46,MIKROTIK,RB951
ST-1146,Maribago,10.10.31.30,MIKROTIK,RB951
ST-1843,Plaza Nouvelle,10.10.28.202,MIKROTIK,RB951
ST-2781,C PLAZA,10.10.3.230,MIKROTIK,RB951
ST-2179,Mivesa Garden,10.10.34.198,MIKROTIK,RB951
ST-2408,Chong Chua Hospital,10.10.32.130,MIKROTIK,RB951
ST-2150,CPI Cabahug,10.10.34.210,MIKROTIK,RB951
ST-1907,Cogon Pardo,10.10.32.38,MIKROTIK,RB951
ST-2022,Sanchez Center,10.10.32.50,MIKROTIK,RB951
ST-1094,Calyx Building,10.10.33.134,MIKROTIK,RB951
ST-1204,Cebu Salinas Drive,10.10.34.178,MIKROTIK,RB951
ST-2059,Lutopan,10.10.34.214,MIKROTIK,RB951
ST-2055,Labangon 2,10.10.32.34,MIKROTIK,RB951
ST-1745,SB Cabahug,10.10.32.110,MIKROTIK,RB951
ST-2206,Pelaez,10.10.34.226,MIKROTIK,RB951
ST-1775,Poblacion Pardo,10.10.34.222,MIKROTIK,RB951
ST-1071,Savers Plaza,10.10.34.234,MIKROTIK,RB951
ST-2302,Mabolo Church,10.10.36.218,MIKROTIK,RB951
ST-2432,Pier 4,10.10.38.246,MIKROTIK,RB951
ST-2193,San Remigio,10.10.34.218,MIKROTIK,RB951
ST-1589,Babag-Uno,10.10.39.118,MIKROTIK,RB951
ST-0931,Gagfa IT,10.10.36.246,MIKROTIK,RB951
ST-1045,Mactan Newtown,10.10.5.26,MIKROTIK,RB951
ST-1265,Cebu Doctors Hospital,10.10.5.14,MIKROTIK,RB951
ST-1172,Danao Poblacion,10.10.5.22,MIKROTIK,RB951
ST-1615,Caltex T. Padilla,10.10.5.2,MIKROTIK,RB951
ST-1593,Cabancalan Mandaue,10.10.4.6,MIKROTIK,RB951
ST-2330,Medellin,10.10.36.234,MIKROTIK,RB951
ST-1126,The Persimmon Plus,10.10.4.74,MIKROTIK,RB951
ST-1191,Minglanilla,10.10.5.6,MIKROTIK,RB951
