site_id,site_name,mgmt_ip,vendor,cpe_type,region,Address,Island Group,City,Zip Code,parent_region
ST-0002,BF Homes,10.10.10.110,MIKROTIK,RB951,Metro Manila,"Pres. Ave., BF Homes Para�aque - Amorado, Lani (SM) - 9985900932",Luzon,Para�aque City,1720,patch01
ST-0003,Libertad,10.10.11.166,MIKROTIK,RB951,Metro Manila,"Libertad cor., F.B. Harrison, Pasay - Jhay-Ar Fuego (SM) - 9088111278",Luzon,Pasay City,1300,patch01
ST-0005,U.N.,10.10.7.110,MIKROTIK,RB951,Metro Manila,"900 U.N. Ave., Ermita, Manila - Jerome S. Sergio (SM) - 9090837929",Luzon,City of Manila,1000,patch01
ST-0007,Quiapo,10.10.7.114,MIKROTIK,RB951,Metro Manila,"465 Quezon Blvd., Quiapo, Manila - Ronald O. Valdez (SM) - 9223252008",Luzon,City of Manila,1001,patch01
ST-0012,Roces,10.10.3.62,MIKROTIK,RB951,Metro Manila,"A. Roces St. cor. Quezon Ave.,  Q.C. - Igcalinos, Joan (SM) - 9285080790",Luzon,Quezon City,1103,patch01
ST-0022,Retiro,10.10.13.58,MIKROTIK,RB951,Metro Manila,"Retiro cor. Dimasalang, Manila - Tan, Marjorie (SM) - 9989651934",Luzon,City of Manila,1015,patch01
ST-0030,Burgos -,10.10.2.146,MIKROTIK,RB951,Metro Manila,"Libertad St., cor. Burgos St., Pasay City - Edgar Amba (SM) - 9228110967",Luzon,Pasay City,1300,patch01
ST-0031,Barangka,10.10.18.182,MIKROTIK,RB951,Metro Manila,"Boni Ave., Barangka Drive, Mandaluyong - Marcelo M. Annang Jr. (SM) - 9989651958",Luzon,Mandaluyong City,1550,patch01
ST-0032,Maypajo,10.10.7.126,MIKROTIK,RB951,Metro Manila,"J.P. Rizal St., cor. Ambini St., Maypajo, Caloocan City - Quizon, Emer (SM) - 9283394723",Luzon,Caloocan City,1410,patch01
ST-0035,Pasig Church,10.10.9.34,MIKROTIK,RB951,Metro Manila,"Caruncho Ave., cor. Sixto Ave., Pasig - Willy Benitez (SM) - 9235477770",Luzon,Pasig City,1600,patch01
ST-0037,Nova 1,10.10.3.66,MIKROTIK,RB951,Metro Manila,"Gen. Luis St, cor. Austria St., Novaliches, Q.C. - Agawin, Marilou (SM) - 0916-4735801/937-3516",Luzon,Quezon City,1123,patch01
ST-0039,MCU,10.10.17.74,MIKROTIK,RB951,Metro Manila,"Edsa cor. Asuncion St., Monumento, Caloocan City - Matias , Gemma (SM) - 0922-8035039/363-6279",Luzon,Caloocan City,1400,patch01
ST-0041,Marulas,10.10.5.246,MIKROTIK,RB951,Metro Manila,"Mc Arthur Hi-way cor. Pio del Pilar, Valenzuela, Manila - Bueno , Pamela (SM) - 0943-3117138/291-6485",Luzon,Caloocan City,1400,patch01
ST-0044,Bacoor 1,10.10.19.202,MIKROTIK,RB951,Cavite,"G.E. Aguinaldo Hi-way cor. Talaba, Bacoor - MARLENE ABAD (SM) - 9397614680",Luzon,Bacoor,4102,patch01
ST-0045,Gagalangin,10.10.6.214,MIKROTIK,RB951,Metro Manila,"Juan Luna cor., Pampanga St., Gagalangin Tondo, Manila",Luzon,City of Manila,1013,patch01
ST-0046,Pandacan,10.10.19.246,MIKROTIK,RB951,Metro Manila,"Jesus cor., Labores St., Pandacan, Manila",Luzon,City of Manila,1011,patch01
ST-0047,Singalong,10.10.3.22,MIKROTIK,RB951,Metro Manila,"Singalong St., cor., san Andres, Malate Manila",Luzon,City of Manila,1017,patch01
ST-0054,Muntinlupa,10.10.7.138,MIKROTIK,RB951,Metro Manila,"Rizal St. cor. National Road, Poblacion, Muntinlupa",Luzon,Muntinlupa City,1776,patch01
ST-0057,Commonwealth-Tandang Sora,10.10.34.2,MIKROTIK,RB951,Metro Manila,"Commonwealth Avenue, corner Tandang Sora Avenue, Diliman, Quezon City, 1101 Metro Manila, Philippines",Luzon,Quezon City,1101,patch01
ST-0059,Revilla,10.10.3.34,MIKROTIK,RB951,Metro Manila,"EDSA cor. C. Revilla St., Pasay City",Luzon,Pasay City,1300,patch01
ST-0060,Cainta Junction,10.10.6.130,MIKROTIK,RB951,Rizal,"A. Bonifacio St., cor. Ortigas Ave., Ext., Cainta, Rizal",Luzon,Cainta,1900,patch01
ST-0063,Guadalupe 1,10.10.13.150,MIKROTIK,RB951,Metro Manila,"EDSA nr. cor. R. Magsaysay, Guadalupe, Makati",Luzon,Makati City,1212,patch01
ST-0064,Masinag,10.10.36.78,MIKROTIK,RB951,Rizal,"Marcos Highway cor. Sumulong Highway, Antipolo, Rizal",Luzon,Antipolo,1870,patch01
ST-0065,Road 8,10.10.32.114,MIKROTIK,RB951,Metro Manila,"Road 8 cor. Visayas  Ave., Proj. 6, Q.C.",Luzon,Quezon City,1100,patch01
