site_id,cf_Status
ST-0002,ACTIVE
ST-0003,ACTIVE
ST-0004,ACTIVE
ST-0005,ACTIVE
ST-0007,ACTIVE
ST-0008,ACTIVE
ST-0010,ACTIVE
ST-0012,ACTIVE
ST-0017,ACTIVE
ST-0022,ACTIVE
ST-0024,ACTIVE
ST-0030,ACTIVE
ST-0031,ACTIVE
ST-0032,ACTIVE
ST-0033,ACTIVE
ST-0035,ACTIVE
ST-0036,ACTIVE
ST-0037,ACTIVE
ST-0039,ACTIVE
ST-0041,ACTIVE
ST-0043,ACTIVE
ST-0045,ACTIVE
ST-0046,ACTIVE
ST-0047,ACTIVE
ST-0054,ACTIVE
ST-0056,ACTIVE
ST-0057,ACTIVE
ST-0059,ACTIVE
ST-0063,TEMPORARILY CLOSED
ST-0065,ACTIVE
ST-0066,ACTIVE
ST-0067,ACTIVE
ST-0068,ACTIVE
ST-0069,ACTIVE
ST-0071,ACTIVE
ST-0074,ACTIVE
ST-0076,ACTIVE
ST-0078,ACTIVE
ST-0080,ACTIVE
ST-0085,ACTIVE
ST-0086,ACTIVE
ST-0090,ACTIVE
ST-0098,ACTIVE
ST-0102,ACTIVE
ST-0103,ACTIVE
ST-0104,ACTIVE
ST-0105,ACTIVE
ST-0106,ACTIVE
ST-0108,ACTIVE
ST-0121,ACTIVE
ST-0122,ACTIVE
ST-0123,ACTIVE
ST-0125,ACTIVE
ST-0134,ACTIVE
ST-0141,ACTIVE
ST-0144,ACTIVE
ST-0147,ACTIVE
ST-0148,ACTIVE
ST-0150,ACTIVE
ST-0153,ACTIVE
ST-0154,ACTIVE
ST-0155,ACTIVE
ST-0156,ACTIVE
ST-0158,ACTIVE
ST-0160,ACTIVE
ST-0167,ACTIVE
ST-0168,ACTIVE
ST-0172,ACTIVE
ST-0175,ACTIVE
ST-0176,TEMPORARILY CLOSED
ST-0184,ACTIVE
ST-0185,ACTIVE
ST-0187,ACTIVE
ST-0188,ACTIVE
ST-0195,ACTIVE
ST-0198,ACTIVE
ST-0199,ACTIVE
ST-0204,ACTIVE
ST-0205,TEMPORARILY CLOSED
ST-0206,ACTIVE
ST-0211,ACTIVE
ST-0213,ACTIVE
ST-0215,ACTIVE
ST-0216,ACTIVE
ST-0217,ACTIVE
ST-0219,ACTIVE
ST-0221,ACTIVE
ST-0226,ACTIVE
ST-0229,ACTIVE
ST-0232,ACTIVE
ST-0234,ACTIVE
ST-0236,ACTIVE
ST-0237,ACTIVE
ST-0241,ACTIVE
ST-0243,ACTIVE
ST-0244,ACTIVE
ST-0248,ACTIVE
ST-0250,ACTIVE
ST-0251,ACTIVE
ST-0252,ACTIVE
ST-0256,ACTIVE
ST-0257,ACTIVE
ST-0258,ACTIVE
ST-0262,ACTIVE
ST-0268,ACTIVE
ST-0271,TEMPORARILY CLOSED
ST-0272,ACTIVE
ST-0275,ACTIVE
ST-0276,ACTIVE
ST-0278,ACTIVE
ST-0279,ACTIVE
ST-0282,ACTIVE
ST-0283,ACTIVE
ST-0284,ACTIVE
ST-0285,ACTIVE
ST-0289,ACTIVE
ST-0295,ACTIVE
ST-0296,ACTIVE
ST-0297,ACTIVE
ST-0300,TEMPORARILY CLOSED
ST-0301,ACTIVE
ST-0302,ACTIVE
ST-0308,ACTIVE
ST-0309,ACTIVE
ST-0311,ACTIVE
ST-0312,ACTIVE
ST-0313,ACTIVE
ST-0315,ACTIVE
ST-0316,ACTIVE
ST-0318,ACTIVE
ST-0321,ACTIVE
ST-0322,ACTIVE
ST-0323,ACTIVE
ST-0329,ACTIVE
ST-0330,ACTIVE
ST-0332,ACTIVE
ST-0334,ACTIVE
ST-0336,ACTIVE
ST-0341,ACTIVE
ST-0342,TEMPORARILY CLOSED
ST-0346,ACTIVE
ST-0349,ACTIVE
ST-0350,ACTIVE
ST-0352,ACTIVE
ST-0355,ACTIVE
ST-0362,ACTIVE
ST-0363,ACTIVE
ST-0365,ACTIVE
ST-0367,TEMPORARILY CLOSED
ST-0372,ACTIVE
ST-0374,ACTIVE
ST-0375,ACTIVE
ST-0378,ACTIVE
ST-0380,ACTIVE
ST-0381,ACTIVE
ST-0383,ACTIVE
ST-0384,ACTIVE
ST-0388,ACTIVE
ST-0390,ACTIVE
ST-0401,TEMPORARILY CLOSED
ST-0404,ACTIVE
ST-0412,ACTIVE
ST-0413,ACTIVE
ST-0418,ACTIVE
ST-0419,ACTIVE
ST-0421,ACTIVE
ST-0432,ACTIVE
ST-0434,ACTIVE
ST-0436,ACTIVE
ST-0440,ACTIVE
ST-0447,ACTIVE
ST-0449,ACTIVE
ST-0450,ACTIVE
ST-0451,ACTIVE
ST-0452,ACTIVE
ST-0455,ACTIVE
ST-0458,ACTIVE
ST-0460,ACTIVE
ST-0461,ACTIVE
ST-0462,ACTIVE
ST-0464,ACTIVE
