site_id,mgmt_ip,cf_Status,tag_location,tag_dctech
ST-0093,10.10.1.150,Active,luzon,na
ST-0120,10.10.21.154,Active,luzon,na
ST-0136,172.17.3.112,Active,luzon,na
ST-0162,10.10.18.202,Active,luzon,na
ST-0208, 10.10.16.110,Active,luzon,na
ST-0224,10.10.9.70,Active,luzon,na
ST-0228,172.17.3.114,Active,luzon,na
ST-0274,172.17.0.12,Active,luzon,na
ST-0288,10.10.31.234,Active,luzon,na
ST-0293,10.10.4.214,Active,luzon,na
ST-0328,10.10.22.78,Active,luzon,na
ST-0343,10.10.20.202,Active,luzon,na
ST-0345,172.17.0.240,Active,luzon,na
ST-0353,10.10.6.66,Active,luzon,na
ST-0354,10.10.9.102,Active,luzon,na
ST-0358,10.8.33.10,Active,luzon,na
ST-0360,10.10.33.230,Active,luzon,na
ST-0366,10.10.21.238,Active,luzon,na
ST-0376,10.10.35.186,Active,luzon,na
ST-0379,10.10.19.126,Active,luzon,na
ST-0392,10.10.19.158,Active,luzon,na
ST-0398,10.10.28.230,Active,luzon,na
ST-0410,10.10.4.210,Active,luzon,na
ST-0411,172.17.1.254,Active,luzon,na
ST-0416,10.8.33.166,Active,luzon,na
ST-0417,172.17.12.201,Active,luzon,na
ST-0424,10.10.34.66,Active,luzon,na
ST-0426,10.10.20.126,Active,luzon,na
ST-0427,10.10.14.66,Active,luzon,na
ST-0428,10.10.14.54,Active,luzon,na
ST-0430,10.10.2.26,Active,luzon,na
ST-0431,172.17.12.10,Active,luzon,na
ST-0438,10.10.14.58,Active,luzon,na
ST-0443,10.10.10.102,Active,luzon,na
ST-0445,10.10.10.62,Active,luzon,na
ST-0446,10.10.10.66,Active,luzon,na
ST-0469,10.10.6.42,Active,luzon,na
ST-0470,172.17.3.191,Active,luzon,na
ST-0485,172.17.12.252,Active,luzon,na
ST-0501,10.10.7.86,Active,luzon,na
ST-0515,10.10.15.186,Active,luzon,na
ST-0516,10.8.34.16,Active,luzon,na
ST-0541,10.10.0.114,Active,luzon,na
ST-0545,172.17.0.27,Active,luzon,na
ST-0552,10.10.15.142,Active,luzon,na
ST-0560,10.10.38.154,Active,luzon,na
ST-0561,10.10.1.130,Active,luzon,na
ST-0562,172.17.8.235,Active,luzon,na
ST-0563,10.10.7.206,Active,luzon,na
ST-0565,10.10.11.18,Active,luzon,na
