site_id,mgmt_ip,sites_status,tag_location,tag_dctech
ST-0002,10.10.10.110,Active,NCR,na
ST-0003,10.10.11.166,Active,NCR,na
ST-0004,10.8.32.4,Active,NCR,na
ST-0005,10.10.7.110,Active,NCR,na
ST-0007,10.10.7.114,Active,NCR,na
ST-0008,10.10.3.14,Active,NCR,na
ST-0010,172.17.0.199,Active,NCR,na
ST-0012,10.10.3.62,Active,NCR,na
ST-0017,172.17.2.10,Active,NCR,na
ST-0022,10.10.13.58,Active,NCR,na
ST-0024,172.17.13.135,Active,NCR,na
ST-0030,10.10.2.146,Active,NCR,na
ST-0031,10.10.18.182,Active,NCR,na
ST-0032,10.10.7.126,Active,NCR,na
ST-0033,172.17.0.1,Active,NCR,na
ST-0035,10.10.9.34,Active,NCR,na
ST-0036,172.17.13.69,Active,NCR,na
ST-0037,10.10.3.66,Active,NCR,na
ST-0039,10.10.17.74,Active,NCR,na
ST-0041,10.10.5.246,Active,NCR,na
ST-0043,10.8.32.43,Active,NCR,na
ST-0045,10.10.6.214,Active,NCR,na
ST-0046,10.10.19.246,Active,NCR,na
ST-0047,10.10.3.22,Active,NCR,na
ST-0054,10.10.7.138,Active,NCR,na
ST-0056,172.17.2.217,Active,NCR,na
ST-0057,10.10.34.2,Active,NCR,na
ST-0059,10.10.3.34,Active,NCR,na
ST-0063,10.10.13.150,Temporarily Closed,NCR,na
ST-0065,10.10.32.114,Active,NCR,na
ST-0066,172.17.12.91,Temporarily closed,NCR,na
ST-0067,10.10.3.74,Active,NCR,na
ST-0068,10.10.24.2,Active,NCR,na
ST-0069,10.10.18.38,Active,NCR,na
ST-0071,10.10.1.178,Active,NCR,na
ST-0074,172.17.8.62,Active,NCR,na
ST-0076,10.10.30.86,Active,NCR,na
ST-0078,10.10.34.86,Active,NCR,na
ST-0080,10.10.7.146,Active,NCR,na
ST-0085,10.10.7.150,Active,NCR,na
ST-0086,10.10.12.54,Active,NCR,na
ST-0090,172.17.2.238,Active,NCR,na
ST-0098,172.17.7.84,Active,NCR,na
ST-0101,10.10.7.158,Active,NCR,na
ST-0102,172.17.8.104,Active,NCR,na
ST-0103,10.10.12.158,Active,NCR,na
ST-0104,172.17.12.22,Active,NCR,na
ST-0105,172.17.0.5,Active,NCR,na
ST-0106,10.10.7.66,Active,NCR,na
ST-0108,10.10.18.242,Active,NCR,na
ST-0121,10.10.7.162,Active,NCR,na
ST-0122,10.10.17.142,Active,NCR,na
ST-0123,10.10.14.6,Active,NCR,na
ST-0125,10.10.3.94,Active,NCR,na
ST-0134,10.10.13.222,Active,NCR,na
ST-0141,172.17.2.20,Active,NCR,na
ST-0144,172.17.7.51,Active,NCR,na
ST-0147,10.8.32.147,Active,NCR,na
ST-0148,10.10.2.234,Active,NCR,na
ST-0150,10.10.3.102,Active,NCR,na
ST-0153,10.10.10.142,Active,NCR,na
ST-0154,10.10.17.54,Active,NCR,na
ST-0155,10.10.12.50,Active,NCR,na
ST-0156,10.10.7.178,Active,NCR,na
ST-0158,10.8.32.158,Active,NCR,na
ST-0160,10.10.3.106,Active,NCR,na
ST-0167,172.17.2.4,Active,NCR,na
ST-0168,10.10.7.190,Active,NCR,na
ST-0172,172.17.6.218,Active,NCR,na
ST-0175,10.10.23.58,Active,NCR,na
ST-0176,10.10.7.198,Temporarily Closed,NCR,na
ST-0184,10.8.32.184,Active,NCR,na
ST-0185,10.10.7.202,Active,NCR,na
ST-0187,10.10.27.138,Active,NCR,na
ST-0188,172.17.3.108,Active,NCR,na
ST-0195,10.10.15.30,Active,NCR,na
ST-0198,172.17.6.225,Active,NCR,na
ST-0199,172.17.12.51,Active,NCR,na
ST-0204,10.10.1.158,Active,NCR,na
ST-0205,172.17.6.170,Temporarily Closed,NCR,na
ST-0206,172.17.2.110,Active,NCR,na
ST-0211,172.17.2.253,Active,NCR,na
ST-0213,10.10.1.66,Active,NCR,na
ST-0215,10.10.3.114,Active,NCR,na
ST-0216,10.10.12.230,Active,NCR,na
ST-0217,10.10.3.118,Active,NCR,na
ST-0219,172.17.1.252,Active,NCR,na
ST-0221,10.10.14.202,Active,NCR,na
ST-0226,10.10.24.154,Active,NCR,na
ST-0229,10.10.18.30,Active,NCR,na
ST-0232,10.10.16.70,Active,NCR,na
ST-0234,10.10.7.238,Active,NCR,na
ST-0236,10.10.2.38,Active,NCR,na
ST-0237,172.17.0.11,Active,NCR,na
ST-0241,172.17.1.214,Active,NCR,na
ST-0243,10.10.23.62,Active,NCR,na
ST-0244,10.10.7.250,Active,NCR,na
ST-0248,10.10.3.254,Active,NCR,na
ST-0250,172.17.13.122,Active,NCR,na
ST-0251,10.10.7.254,Active,NCR,na
ST-0252,10.10.13.130,Active,NCR,na
ST-0256,172.17.12.186,Active,NCR,na
ST-0257,172.17.7.196,Active,NCR,na
ST-0258,10.10.2.246,Temporarily Closed,NCR,na
ST-0262,10.8.33.12,Active,NCR,na
ST-0268,172.17.2.223,Active,NCR,na
ST-0271,10.10.32.30,Temporarily Closed,NCR,na
ST-0272,172.17.0.241,Active,NCR,na
ST-0275,172.17.3.109,Active,NCR,na
ST-0276,10.10.16.250,Active,NCR,na
ST-0278,10.10.8.14,Active,NCR,na
ST-0279,10.10.2.46,Active,NCR,na
ST-0282,10.10.2.122,Active,NCR,na
ST-0283,172.17.2.250,Temporarily Closed,NCR,na
ST-0284,10.10.22.102,Active,NCR,na
ST-0285,10.10.14.206,Active,NCR,na
ST-0289,172.17.3.6,Active,NCR,na
ST-0295,10.10.36.146,Active,NCR,na
ST-0296,172.17.7.52,Active,NCR,na
ST-0297,10.10.11.210,Active,NCR,na
ST-0300,172.17.7.87,Temporarily Closed,NCR,na
ST-0301,10.10.9.82,Active,NCR,na
ST-0302,172.17.2.230,Temporarily Closed,NCR,na
ST-0303,10.10.17.146,Active,NCR,na
ST-0308,172.17.12.23,Active,NCR,na
ST-0309,172.17.6.232,Active,NCR,na
ST-0311,172.17.8.63,Active,NCR,na
ST-0312,10.10.1.194,Active,NCR,na
ST-0313,10.10.14.146,Active,NCR,na
ST-0315,10.10.7.22,Active,NCR,na
ST-0316,10.10.37.250,Active,NCR,na
ST-0318,10.10.3.58,Active,NCR,na
ST-0321,172.17.12.127,Active,NCR,na
ST-0322,10.10.3.182,Active,NCR,na
ST-0323,172.17.3.82,Active,NCR,na
ST-0329,10.8.33.79,Active,NCR,na
ST-0330,10.10.7.26,Active,NCR,na
ST-0332,10.10.2.50,Active,NCR,na
ST-0334,10.10.1.214,Active,NCR,na
ST-0336,10.10.10.138,Active,NCR,na
ST-0341,10.10.2.126,Active,NCR,na
ST-0342,172.17.0.193,Temporarily Closed,NCR,na
ST-0346,10.10.9.14,Active,NCR,na
ST-0349,10.10.7.30,Active,NCR,na
ST-0350,172.17.0.195,Active,NCR,na
ST-0352,10.10.3.166,Active,NCR,na
ST-0355,10.10.9.18,Active,NCR,na
ST-0362,10.10.17.10,Active,NCR,na
ST-0363,172.17.7.221,Active,NCR,na
ST-0365,172.17.8.23,Active,NCR,na
ST-0367,172.17.12.62,Temporarily Closed,NCR,na
ST-0372,172.17.0.19,Active,NCR,na
ST-0374,10.8.33.97,Active,NCR,na
ST-0375,10.10.0.178,Active,NCR,na
ST-0378,10.10.34.150,Active,NCR,na
ST-0380,10.10.2.230,Active,NCR,na
ST-0381,10.10.20.134,Active,NCR,na
ST-0383,10.10.9.30,Active,NCR,na
ST-0384,10.10.36.82,Active,NCR,na
ST-0388,10.10.25.146,Active,NCR,na
ST-0390,10.10.11.178,Active,NCR,na
ST-0401,10.10.38.158,Temporarily Closed,NCR,na
ST-0404,172.17.12.112,Active,NCR,na
ST-0412,10.10.26.82,Active,NCR,na
ST-0413,172.17.3.83,Active,NCR,na
ST-0418,10.10.30.166,Active,NCR,na
ST-0419,10.10.6.14,Active,NCR,na
ST-0421,10.10.2.22,Active,NCR,na
ST-0432,172.17.3.40,Active,NCR,na
ST-0434,10.10.3.42,Active,NCR,na
ST-0436,10.10.2.54,Active,NCR,na
ST-0440,10.10.20.138,Active,NCR,na
ST-0447,10.10.8.34,Active,NCR,na
ST-0449,172.17.2.204,Active,NCR,na
ST-0450,10.10.28.118,Active,NCR,na
ST-0451,172.17.0.21,Active,NCR,na
ST-0452,172.17.2.8,Active,NCR,na
ST-0455,10.10.8.42,Active,NCR,na
ST-0458,10.10.28.6,Active,NCR,na
ST-0460,10.10.31.170,Active,NCR,na
ST-0461,172.17.3.116,Active,NCR,na
ST-0462,172.17.6.144,Active,NCR,na
ST-0464,10.10.0.174,Active,NCR,na
ST-0466,172.17.13.34,Active,NCR,na
ST-0471,10.10.18.62,Active,NCR,na
ST-0473,10.10.5.174,Active,NCR,na
ST-0478,10.10.31.26,Active,NCR,na
ST-0480,10.10.5.222,Active,NCR,na
ST-0481,172.17.1.216,Active,NCR,na
ST-0483,172.17.12.150,Active,NCR,na
ST-0486,10.10.8.62,Active,NCR,na
ST-0489,172.17.3.106,Active,NCR,na
ST-0490,10.10.1.170,Active,NCR,na
ST-0495,10.10.15.166,Active,NCR,na
ST-0497,172.17.7.141,Active,NCR,na
ST-0498,10.10.14.50,Active,NCR,na
ST-0500,172.17.6.160,Active,NCR,na
ST-0502,10.10.2.154,Active,NCR,na
ST-0503,172.17.1.194,Active,NCR,na
ST-0504,10.10.3.6,Active,NCR,na
ST-0505,10.10.13.214,Active,NCR,na
ST-0508,10.10.8.130,Active,NCR,na
ST-0509,10.10.8.146,Active,NCR,na
ST-0510,172.17.1.84,Temporarily Closed,NCR,na
ST-0512,172.17.2.234,Temporarily Closed,NCR,na
ST-0513,10.10.19.34,Active,NCR,na
ST-0517,172.17.12.154,Active,NCR,na
ST-0518,10.10.14.250,Temporarily Closed,NCR,na
ST-0524,10.10.8.90,Temporarily Closed,NCR,na
ST-0527,10.10.7.38,Active,NCR,na
ST-0528,10.10.31.62,Active,NCR,na
ST-0529,10.10.8.98,Active,NCR,na
ST-0530,10.10.0.182,Active,NCR,na
ST-0535,172.17.2.207,Active,NCR,na
ST-0536,10.10.2.58,Active,NCR,na
