site_id,site_name,mgmt_ip,vendor,cpe_type
UM-0002,Ultramega Balagtas Retail,172.17.254.232,RUIJIE,RSR10
UM-0027,Ultramega Guagua,172.17.254.230,RUIJIE,RSR10
UM-0028,Ultramega Baliuag Retail,172.17.254.231,RUIJIE,RSR10
UM-0023,Ultramega Bagong Silang,172.17.254.227,RUIJIE,RSR10
UM-0032,Ultramega Quirino Isabela,172.17.254.222,RUIJIE,RSR10
UM-0034,Ultramega Arayat,172.17.254.220,RUIJIE,RSR10
UM-0020,Ultramega Sapang Palay,172.17.254.251,RUIJIE,RSR10
UM-0029,Ultramega Lemery Batangas,172.17.254.225,RUIJIE,RSR10
UM-0007,Ultramega Dasmarinas Retail,172.17.254.241,RUIJIE,RSR10
UM-0005,Ultramega Bicutan,172.17.254.238,RUIJIE,RSR10
UM-0006,Ultramega Cordon Isabela,172.17.254.233,RUIJIE,RSR10
UM-0011,Ultramega General Trias,172.17.254.235,RUIJIE,RSR10
UM-0012,Ultramega Isabela,172.17.254.234,RUIJIE,RSR10
UM-0013,Ultramega Montalban,172.17.254.245,RUIJIE,RSR10
UM-0015,Ultramega Naic,172.17.254.240,RUIJIE,RSR10
UM-0018,Ultramega Rosario,172.17.254.237,RUIJIE,RSR10
UM-0026,Ultramega Dasmarinas Warehouse,172.17.254.228,RUIJIE,RSR10
UM-0030,Ultramega Baliuag Poblacion,172.17.254.224,RUIJIE,RSR10
UM-0031,Ultramega Candaba Pampanga,172.17.254.223,RUIJIE,RSR10
UM-0024,Ultramega Canlubang 2,172.17.254.226,RUIJIE,RSR10
UM-0008,Ultramega Deparo,172.17.254.250,RUIJIE,RSR10
UM-0022,Ultramega Tanauan,172.17.254.252,RUIJIE,RSR10
UM-0019,Ultramega Sangandaan,172.17.254.247,RUIJIE,RSR10
UM-0004,Ultramega Baliuag Wholesale,172.17.254.244,RUIJIE,RSR10
UM-0001,Ultramega Antipolo,172.17.254.246,RUIJIE,RSR10
UM-0009,Ultramega Divisoria,172.17.254.248,RUIJIE,RSR10
UM-0014,Ultramega Muntinlupa,172.17.254.254,RUIJIE,RSR10
UM-0033,Ultramega Balibago,172.17.254.221,RUIJIE,RSR10
UM-0017,Ultramega Padre Garcia,172.17.254.239,RUIJIE,RSR10
UM-0003,Ultramega Balagtas Wholesale,172.17.254.236,RUIJIE,RSR10
UM-0016,Ultramega Novaliches,172.17.254.249,RUIJIE,RSR10
UM-0021,Ultramega Tagaytay,172.17.254.242,RUIJIE,RSR10
UM-0025,Ultramega Canlubang 1,172.17.254.229,RUIJIE,RSR10
UM-0010,Ultramega Gagalangin,172.17.254.243,RUIJIE,RSR10
