site_id,mgmt_ip,cf_Status
ST-0694,10.10.2.174,Active
ST-0702,172.17.6.90,Active
ST-0705,10.10.2.178,Active
ST-0757,10.8.35.7,Active
ST-0761,10.8.35.11,Active
ST-0776,10.10.2.170,Active
ST-0854,10.10.40.162,Active
ST-0878,172.17.13.58,Active
ST-0886,10.10.9.210,Active
ST-0914,10.10.34.158,Active
ST-0980,10.10.11.158,Active
ST-1018,172.17.2.198,Active
ST-1087,10.10.11.162,Active
ST-1155,10.10.11.70,Active
ST-1175,10.10.4.2,Active
ST-1255,10.10.11.78,Active
ST-1261,10.10.13.126,Active
ST-1275,10.10.11.214,Active
ST-1276,172.17.6.219,Active
ST-1330,10.10.11.222,Active
ST-1334,172.17.1.2,Active
ST-1450,10.10.16.98,Active
ST-1492,10.10.12.222,Active
ST-1493,10.10.24.182,Active
ST-1494,10.10.4.250,Active
ST-1533,10.10.25.198,Active
ST-1563,172.17.13.52,Active
ST-1602,10.10.27.186,Active
ST-1612,10.10.19.242,Closed
ST-1711,10.10.3.138,Active
ST-1989,10.10.35.62,Closed
ST-1996,172.17.0.232,Active
ST-2020,172.17.3.115,Active
ST-2060,172.17.12.129,Closed
ST-2072,10.10.35.154,Active
ST-2091,10.8.40.91,Active
ST-2112,10.10.31.166,Active
ST-2166,10.10.32.210,Active
ST-2177,10.10.34.146,Active
ST-2275,10.8.41.25,Closed
ST-2380,10.10.38.70,Active
ST-2491,172.17.0.205,Active
ST-2512,172.17.0.208,Active
ST-2568,172.17.1.242,Active
ST-2571,10.8.42.71,Active
ST-2591,172.17.12.77,Active
ST-2595,10.8.42.95,Closed
ST-2734,172.17.1.143,Closed
ST-2893,10.8.43.143,Closed
ST-3062,172.17.6.52,Closed
