name,cf_Group,vcpus,memory,disk,cluster,tenant,cf_Public IP,cf_Private IP,cf_Type,cf_Owner,cf_Active Status
supplychain-wms-production-wms.ecommerce,supplychain,2,4096,35,A1-R05-U26,AGC SysOps ,202.60.10.107,,production,Sarah,Running
fintech-payconnect-production-rs2.rewards.processing,fintech,4,2048,31,A1-R05-U26,AGC SysOps ,202.60.10.204,,production,Juan Jamon,Running
supplychain-erp-test-odoo12.pmi,supplychain,4,4096,64,A1-R05-U26,AGC SysOps ,,192.168.18.46,test,Carlex & Sarah,Running
supplychain-erp-test-erp.prod,supplychain,8,4096,64,A1-R05-U26,AGC SysOps ,10.255.255.183,,test,Randy,Running
infra-oss-production-nginx.proxy,infra,2,2048,31,A1-R05-U26,AGC SysOps ,202.60.10.217,,production,Mae,Running
infra-internal-production-openproject,infra,4,8192,64,A1-R05-U26,AGC SysOps ,202.60.10.137,,production,Luigi,Running
infra-network-production-quad.a,infra,2,4096,64,A1-R05-U26,AGC SysOps ,202.60.10.125,,production,Luigi,Running
fintech-payconnect-test-switch2,fintech,4,4096,32,A1-R05-U26,AGC SysOps ,202.60.10.168,,test,Juan Jamon,Running
infra-internal-production-rocketchat.mongodb.1,infra,4,4096,100,A1-R05-U26,AGC SysOps ,,192.168.18.21,production,Luigi,Running
infra-internal-production-rocketchat.mongodb.3,infra,4,4096,100,A1-R05-U26,AGC SysOps ,,192.168.18.23,production,Luigi,Running
fms-fms-production-kitanglad,fms,4,4096,64,A1-R05-U26,AGC SysOps ,,192.168.70.241,production,Michael,Running
etrade-etrade-test-fe,etrade,2,2048,34,A1-R05-U26,AGC SysOps ,202.60.10.120,,test,Danrey,Running
datalake-datalake-dev-wiki,datalake,4,4096,30,A1-R05-U26,AGC SysOps ,,192.168.70.21,dev,Dom Cimafranca,Running
infra-network.management-test-elk,infra,4,4096,20,A1-R05-U26,AGC SysOps ,202.60.10.135,,test,mitzi/menard,Running
infra-network.management-test-grafana,infra,2,2048,20,A1-R05-U26,AGC SysOps ,202.60.10.138,,test,mitzi/menard,Running
infra-internal-test-cloned.dcim,infra,2,2048,60,A1-R05-U26,AGC SysOps ,202.60.12.108,,test,vincent,Running
supplychain-wms-production-wms.dataconnect,supplychain,2,2048,35,A1-R04-U10,AGC SysOps ,202.60.10.121 ,,production,Sarah Osay,Running
fintech-payconnect-dev-backend,fintech,4,4096,50,A1-R04-U10,AGC SysOps ,202.60.10.176,,dev,Juan Jamon,Running
supplychain-erp-test-odoo12.1,supplychain,4,4096,64,A1-R04-U10,AGC SysOps ,,192.168.18.178,test,Sarah Osay & Gelie,Running
infra-oss-production-atis.apollo,infra,4,4096,62,A1-R04-U10,AGC SysOps ,,192.168.17.180,production,Randy/Mae,Running
infra-oss-production-atis.corona,infra,2,2048,62,A1-R04-U10,AGC SysOps ,,192.168.17.86 ,production,Randy/Mae,Running
fintech-payconnect-dev-biller.api.test,fintech,2,2048,30,A1-R04-U10,AGC SysOps ,202.60.10.100,,dev,Russel Cuy,Running
fintech-payconnect-production-kafka1,fintech,4,4096,100,A1-R04-U10,AGC SysOps ,,192.168.18.165,production,Carlex,Running
fintech-cliqq-dev-redeem3,fintech,4,4096,62,A1-R04-U10,AGC SysOps ,202.60.10.184,,dev,Juan Jamon,Running
fintech-cliqq-production-bot2,fintech,8,4096,32,A1-R04-U10,AGC SysOps ,,192.168.18.187,production,JanChristian & Juan,Running
fintech-cliqq-test-sms.api,fintech,4,4096,30,A1-R04-U10,AGC SysOps ,202.60.10.179,,test,JanChristian & Juan Jamon,Running
infra-internal-test-rocketchat.nginx,infra,4,4096,30,A1-R04-U10,AGC SysOps ,202.60.10.145,,test,Luigi,Running
fms-fms-production-apo,fms,4,4096,64,A1-R04-U9,AGC SysOps ,202.60.10.216,,production,Michael,Running
supplychain-erp-production-kafka.scripts,supplychain,2,2048,34,A1-R04-U9,AGC SysOps ,,192.168.18.116,production,Sarah Osay,Running
supplychain-cliqqshop-dev-shoployalty.test1,supplychain,8,4096,50,A1-R04-U9,AGC SysOps ,202.60.10.170,,dev,Juan Jamon/Ian,Running
supplychain-cliqqshop-dev-shop1,supplychain,2,2048,32,A1-R04-U9,AGC SysOps ,202.60.10.189,,dev,Ian,Running
supplychain-wms-test-wms.generic1,supplychain,2,2048,32,A1-R04-U9,AGC SysOps ,202.60.10.181,192.168.18.91,test,Gelie,Running
fintech-online.gulay-test-billing.center.backend,fintech,2,4096,50,A1-R04-U9,AGC SysOps ,202.60.10.188,,test,Jasper,Running
fintech-payconnect-production-postgresql,fintech,4,4096,55,A1-R04-U9,AGC SysOps ,,192.168.17.88,production,Juan Jamon,Running
fintech-payconnect-production-paymentgateway.be1,fintech,4,16384,100,A1-R04-U9,AGC SysOps ,202.60.10.169,,production,Carlex,Running
data.analytics-datalake-production-mysql,data.analytics,4,8192,100,A1-R04-U9,AGC SysOps ,,192.168.17.67,production,Dom Cimafranca,Running
internal-oss-test-mailoutgoing2,internal,4,4096,55,A1-R04-U9,AGC SysOps ,202.60.10.154,,test,menard,Running
infra-network-production-ldap1,infra,2,2048,32,A1-R04-U9,AGC SysOps ,202.60.10.105,,production,Luigi,Running
infra-internal-production-rocketchat.mongodb.4,infra,4,4096,30,A1-R04-U9,AGC SysOps ,,192.168.18.36,production,Luigi,Running
fintech-online.gulay-dev-onlinegulay.frontend,fintech,2,4096,50,A1-R04-U9,AGC SysOps ,202.60.10.174,,dev,Yonas,Running
infra-kafka-test-zookeeper3,infra,2,4096,50,A1-R04-U9,AGC SysOps ,,192.168.18.244,test,jessie@apolloglobal.net,Running
fintech-payconnect-test-frontend,fintech,4,2048,50,A1-R04-U11,AGC SysOps ,,192.168.18.99,test,Juan Jamon,Running
supplychain-erp-test-odoo14.2,supplychain,4,4096,64,A1-R04-U11,AGC SysOps ,,192.168.18.180,test,Sarah Osay,Running
dev-apollo.ldap.wifi-production-captive.portal,dev,2,4096,30,A1-R04-U11,AGC SysOps ,202.60.10.165,,production,Orly,Running
infra-oss-production-tracker.fdroid,infra,2,2048,200,A1-R04-U11,AGC SysOps ,202.60.10.84,,production,Dom Cimafranca/Mae,Running
infra-internal-production-bastillion,infra,2,2048,30,A1-R04-U11,AGC SysOps ,202.60.10.122,,production,Luigi,Running
infra-internal-production-pinoyextreme.nas,infra,2,2048,30,A1-R04-U11,AGC SysOps ,,192.168.17.3,production,SYSOPS,Running
devops-k8s-test-node1,devops,8,16384,64,A1-R04-U11,AGC SysOps ,202.60.10.214,,test,Carlex,Running
supplychain-cliqqshop-dev-db.test1,supplychain,2,2048,50,A1-R04-U11,AGC SysOps ,,192.168.17.90,dev,Ian,Running
infra-oss-production-rt.cdec,infra,2,2048,125,A1-R04-U11,AGC SysOps ,,192.168.18.94,production,Danrey/Mae,Running
infra-oss-test-tracker.pwa,infra,2,2048,31,A1-R04-U11,AGC SysOps ,202.60.10.164,,test,Malone/Mae,Running
fintech-payconnect-test-fineract.mifosx,fintech,4,16384,60,A1-R04-U11,AGC SysOps , 202.60.9.116,192.168.18.92,test,Russel Cuy/Jasper Briones,Running
data.analytics-datalake-dev-7connect.db,data.analytics,4,8192,200,A1-R04-U11,AGC SysOps ,,192.168.18.98,dev,Dom Cimfranca,Running
infra-network-test-ldap2,infra,2,2048,32,A1-R04-U11,AGC SysOps ,202.60.10.106,,test,Luigi,Running
Infra-Kafka-test-zookeeper1,infra,2,4096,50,A1-R04-U11,AGC SysOps ,,192.168.18.242,test,jessie@apolloglobal.net,Running
infra-oss-production-sma2.dataconnect.openproject,infra,2,8192,64,A1-R04-U11,AGC SysOps ,202.60.10.142,,production,ingrid@apolloglobal.net,Running
infra-wfm-production-reports.db,infra,4,4096,100,A1-R05-U23,AGC SysOps ,,192.168.18.118,production,Cristian Togonon,Running
supplychain-wms-test-odoo14.wms,supplychain,2,2048,35,A1-R05-U23,AGC SysOps ,,192.168.18.238,test,Sarah Osay,Running
supplychain-wms-production-apollo.wms,supplychain,2,2048,35,A1-R05-U23,AGC SysOps ,202.60.10.187,,production,Sarah Osay,Running
supplychain-wms-test-odoo11.wms,supplychain,2,2048,35,A1-R05-U23,AGC SysOps ,202.60.10.178,,test,Sarah Osay,Running
fintech-shopconnect-dev-parcel,fintech,2,2048,30,A1-R05-U23,AGC SysOps ,,192.168.18.115,dev,Ian/Miguel/Jared,Running
fintech-shopconnect-dev-notification,fintech,2,2048,30,A1-R05-U23,AGC SysOps ,,192.168.18.117,dev,Ian/Miguel/Jared,Running
fintech-shopconnect-dev-pickuppoint,fintech,2,2048,30,A1-R05-U23,AGC SysOps ,,192.168.18.119,dev,Ian/Miguel/Jared,Running
fintech-shopconnect-dev-elastic,fintech,2,2048,30,A1-R05-U23,AGC SysOps ,,192.168.17.116,dev,Ian/Miguel/Jared,Running
fintech-cliqqshop-dev-dashboard,fintech,2,2048,30,A1-R05-U23,AGC SysOps ,202.60.10.171,,dev,Ian/Miguel/Jared,Running
fintech-microfinance-dev-microfinance.backend,fintech,2,4096,50,A1-R05-U23,AGC SysOps ,202.60.10.186 ,192.168.17.118,dev,Pamela Demafeliz,Running
fintech-microfinance-dev-microfinance.frontend,fintech,2,4096,50,A1-R05-U23,AGC SysOps ,202.60.10.167 ,192.168.18.104,dev,Pamela Demafeliz,Running
fms-fms-production-matutum,fms,4,4096,64,A1-R05-U23,AGC SysOps ,202.60.10.212,,production,Michael,Running
supplychain-cliqqshop-dev-pimcore.microservices,supplychain,2,2048,30,A1-R05-U23,AGC SysOps ,202.60.10.182,,dev,Ian/Miguel/Jared,Running
supplychain-cliqqshop-dev-orderdashboard,supplychain,2,2048,30,A1-R05-U23,AGC SysOps ,202.60.10.173,,dev,Ian/Miguel/Jared,Running
fintech-billing.center-dev-billing.center.frontend,fintech,2,4096,50,A1-R05-U23,AGC SysOps ,202.60.10.213,,dev,Sarah,Running
fintech-payconnect-dev-uat.db,fintech,8,16384,500,A1-R05-U23,AGC SysOps ,,192.168.18.170,dev,Juan Jamon,Running
fintech-payconnect-test-zookeeper3,fintech,1,2048,32,A1-R05-U23,AGC SysOps ,,192.168.18.233,test,Carlex,Running
fintech-payconnect-production-zookeeper1,fintech,1,2048,32,A1-R05-U23,AGC SysOps ,,192.168.18.232,production,Carlex,Running
fintech-payconnect-production-payconnect.dashboard.backend1,fintech,4,8192,64,A1-R05-U25,AGC SysOps ,202.60.10.220,,production,Carlex,Running
fintech-payconnect-production-payconnect.dashboard1,fintech,4,8192,64,A1-R05-U25,AGC SysOps ,202.60.10.215,,production,Carlex,Running
supplychain-erp-production-odoo12.mercande,supplychain,4,8192,60,A1-R05-U25,AGC SysOps ,,192.168.18.48,production,Carlex/Sarah,Running
infra-network-production-openvpn.agc,infra,2,2048,50,A1-R05-U25,AGC SysOps ,202.60.9.252,,production,Luigi,Running
infra-network-production-freepbx,infra,2,2048,100,A1-R05-U25,AGC SysOps ,202.60.9.131,,production,Malone,Running
devops-k8s-test-rancher1,data.analytics,4,8192,64,A1-R05-U25,AGC SysOps ,202.60.10.201,,test,Carlex,Running
infra-monitoring-production-zdash,infra,2,2048,32,A1-R05-U25,AGC SysOps ,202.60.10.131,,production,brian rex,Running
infra-monitoring-production-nms2,infra,2,4096,30,A1-R05-U25,AGC SysOps ,,192.168.18.12,production,Luigi,Running
infra-network-test-freepbx.cdec,infra,2,2048,100,A1-R05-U25,AGC SysOps ,202.60.10.203,,test,Malone,Running
fintech-payconnect-dev-merchant.aggregator,fintech,8,16384,100,A1-R05-U25,AGC SysOps ,202.60.10.219,,dev,Juan Jamon/Jan Christian,Running
